question,question_ids,answer,answer_ids
"uinose ( appearing to be covered with a fine whitish powder ) , but becomes smooth in age . The stem base bears large , br","[29884, 262, 852, 313, 21534, 304, 367, 10664, 411, 263, 2691, 377, 277, 728, 4764, 672, 1723, 1919, 541, 7415, 10597, 297, 5046, 869, 450, 20805, 2967, 367, 1503, 2919, 1919, 1506]",months,7378
"houses and schools associated with the "" Underworld "" . Many of the Carlton scenes were filmed in North Melbourne , primarily around Errol Street . All La","[12955, 322, 12462, 6942, 411, 278, 376, 7634, 11526, 376, 869, 9267, 310, 278, 8965, 880, 20407, 892, 977, 2168, 297, 4644, 22103, 1919, 19434, 2820, 1425, 1467, 7103, 869, 2178, 997]",гене,13014
"Two places for the United States were vacant , as Sherrill had died in June , but the minutes specifically note that Brundage was elected to the","[7803, 7600, 363, 278, 3303, 3900, 892, 11757, 424, 1919, 408, 1383, 3127, 453, 750, 6423, 297, 5306, 1919, 541, 278, 6233, 10816, 4443, 393, 8135, 299, 482, 471, 11467, 304, 278]",пси,27210
"kingdom . Merchants from Genoa and Pisa soon attacked each other in Acre , destoying a significant portion of the town . According to a","[20748, 869, 4702, 305, 1934, 515, 5739, 19807, 322, 349, 8069, 4720, 22630, 1269, 916, 297, 319, 1037, 1919, 2731, 29877, 5414, 263, 7282, 11910, 310, 278, 4726, 869, 7579, 304, 263]",equals,10954
"0 , 2006 , by Metro @-@ Goldwyn @-@ Mayer , Columbia Pictures and Revolution Studios . It exceeded box","[29900, 1919, 29871, 29906, 29900, 29900, 29953, 1919, 491, 23803, 732, 29899, 29992, 6650, 29893, 948, 732, 29899, 29992, 2610, 261, 1919, 15411, 26069, 322, 14595, 23268, 869, 739, 13461, 287, 3800]",ск,6231
", 47 – 17 , to improve to a 2 – 1 record . Their first win in the ACC was followed by their first","[1919, 29871, 29946, 29955, 785, 29871, 29896, 29955, 1919, 304, 11157, 304, 263, 29871, 29906, 785, 29871, 29896, 2407, 869, 11275, 937, 5401, 297, 278, 319, 4174, 471, 5643, 491, 1009, 937]",hits,19572
"they appear to be non @-@ winnable . For example , this position is a win for Black in 154 moves ( during which the","[896, 2615, 304, 367, 1661, 732, 29899, 29992, 281, 2559, 519, 869, 1152, 1342, 1919, 445, 2602, 338, 263, 5401, 363, 6054, 297, 29871, 29896, 29945, 29946, 16229, 313, 2645, 607, 278]",rial,9315
"an argument regarding international principles . To this end , Miskovsky and two other lawyers ( Alexander W. Parker and Frank Rogers ) wrote a","[385, 2980, 11211, 6121, 18671, 869, 1763, 445, 1095, 1919, 341, 3873, 586, 7912, 322, 1023, 916, 4307, 29891, 414, 313, 9428, 399, 29889, 24239, 322, 4976, 9272, 414, 1723, 5456, 263]",>();,8295
"Lake Michigan between Manitowoc , Wisconsin , and Ludington . As the highway crosses the state , it is a two @-@ lane und","[9459, 17098, 1546, 2315, 277, 340, 542, 1919, 22581, 1919, 322, 8591, 4885, 869, 1094, 278, 29469, 4891, 267, 278, 2106, 1919, 372, 338, 263, 1023, 732, 29899, 29992, 301, 1662, 563]",шко,28567
heastern Hampshire County to carry Capon Springs Road ( West Virginia Secondary Route 16 ) between West Virginia Route 259 and Cap,"[354, 11530, 7904, 28401, 5127, 304, 8677, 5915, 265, 14314, 886, 9321, 313, 3122, 11653, 6440, 653, 12034, 29871, 29896, 29953, 1723, 1546, 3122, 11653, 12034, 29871, 29906, 29945, 29929, 322, 5915]",wand,24706
"judged in respect to that music . "" Townsend produced and performed nearly all the instruments on the debut studio album , Heavy as a Really Heavy","[6577, 3192, 297, 3390, 304, 393, 4696, 869, 376, 8421, 6717, 7371, 322, 8560, 8886, 599, 278, 23643, 373, 278, 9512, 8693, 3769, 1919, 940, 5301, 408, 263, 830, 635, 940, 5301]",Detroit,25749
"of Babli 's anklet , two buttons from Manoj 's shirt , and torn photographs of the couple . Manoj '","[310, 14525, 492, 525, 29879, 385, 29895, 1026, 1919, 1023, 9828, 515, 341, 1562, 29926, 525, 29879, 528, 2728, 1919, 322, 10146, 17739, 29879, 310, 278, 7303, 869, 341, 1562, 29926, 525]",ibles,13876
"Les Chouans was published in 1829 , he released a treatise about the institution called Physiologie du Mariage . His attention to","[2664, 678, 283, 550, 471, 6369, 297, 29871, 29896, 29947, 29906, 29929, 1919, 540, 5492, 263, 7539, 895, 1048, 278, 12666, 2000, 11661, 29875, 5458, 868, 27161, 482, 869, 3600, 8570, 304]",Field,3073
"andic families and businesses . "" NBI ( originally known as Nýi Landsbanki ) was set up on 9 October with 2","[392, 293, 13175, 322, 5381, 267, 869, 376, 405, 12809, 313, 10437, 2998, 408, 405, 30052, 29875, 3172, 29879, 9157, 29875, 1723, 471, 731, 701, 373, 29871, 29929, 5533, 411, 29871, 29906]",co,1111
"to purchase shares in the club , but only membership . The members of Barcelona , called socis , form an assembly of delegates which is the highest governing","[304, 20590, 29358, 297, 278, 4402, 1919, 541, 871, 28512, 869, 450, 5144, 310, 12408, 1919, 2000, 17874, 275, 1919, 883, 385, 11470, 310, 16000, 1078, 607, 338, 278, 9939, 14765, 1076]",représent,17899
and the electrical systems failed one by one before reaching Gibraltar . The copper rings for sealing the portholes were left in Kronstadt,"[322, 278, 3546, 16888, 6757, 5229, 697, 491, 697, 1434, 20888, 15347, 1705, 12637, 869, 450, 1302, 2496, 28774, 363, 409, 12818, 278, 1277, 386, 6544, 892, 2175, 297, 476, 1617, 9516]",instanti,13213
"Her work is generally well received , with the more recent novels reaching the New York Times Bestseller List . Critics have praised her meticulous","[2439, 664, 338, 6892, 1532, 4520, 1919, 411, 278, 901, 7786, 2420, 1379, 20888, 278, 1570, 3088, 10277, 6407, 29879, 4539, 2391, 869, 15976, 1199, 505, 7213, 3368, 902, 1539, 12906, 681]",Sof,21541
"and maintain a sense of community among Extension students . In partnership with many other organizations on campus , HESA provides a variety of social activities , educational","[322, 7344, 263, 4060, 310, 7881, 4249, 7338, 2673, 8041, 869, 512, 22056, 4034, 411, 1784, 916, 25700, 373, 24165, 1919, 379, 2890, 29909, 8128, 263, 12875, 310, 5264, 14188, 1919, 28976]",mobile,16769
"to locations such as Aberdeen , and Inverness to the north and London King 's Cross to the south . Nearby stations such as Burnt","[304, 14354, 1316, 408, 20626, 311, 264, 1919, 322, 512, 369, 2264, 304, 278, 6641, 322, 4517, 4088, 525, 29879, 11189, 304, 278, 7062, 869, 26206, 1609, 16355, 1316, 408, 6640, 593]",car,4287
") and served in the Gallipoli Campaign , during which he received the Distinguished Service Order . He was evacuated from Gallipoli due","[1723, 322, 6766, 297, 278, 5208, 3466, 5079, 7259, 8729, 1919, 2645, 607, 540, 4520, 278, 6652, 6202, 3276, 6692, 8170, 869, 940, 471, 3415, 22061, 630, 515, 5208, 3466, 5079, 2861]",manual,12219
"s band , plays clarinet on the Mistaken Identity album ( 1996 ) . The Beatles , Pink Floyd , Radiohead","[29879, 3719, 1919, 13582, 7542, 10157, 373, 278, 341, 391, 9424, 27486, 3769, 313, 29871, 29896, 29929, 29929, 29953, 1723, 869, 450, 18573, 793, 1919, 349, 682, 383, 18966, 1919, 9204, 2813]",зна,4372
"lives of bookish ladies "" , his flaws , particularly his "" violent , argumentative , depressive "" nature , make him a strong , well @","[12080, 310, 3143, 728, 22281, 376, 1919, 670, 17422, 5652, 1919, 10734, 670, 376, 24252, 1919, 2980, 1230, 1919, 316, 2139, 573, 376, 5469, 1919, 1207, 1075, 263, 4549, 1919, 1532, 732]",手,30880
"Anaemia may develop in several ways : iron malabsorption may cause iron deficiency anaemia , and folic acid and vitamin B1","[20367, 29747, 1122, 2693, 297, 3196, 5837, 584, 13977, 4439, 6897, 272, 683, 1122, 4556, 13977, 822, 293, 13396, 385, 29874, 29747, 1919, 322, 900, 293, 22193, 322, 13901, 9103, 350, 29896]",risp,22475
070 ( 4 / 79 ) . Produced & Engineered by Ed Stasium . Remix Engineer : Joel Soifer,"[29900, 29955, 29900, 313, 29871, 29946, 847, 29871, 29955, 29929, 1723, 869, 7138, 1133, 669, 10863, 14561, 491, 2155, 624, 294, 1974, 869, 5240, 861, 10863, 261, 584, 3650, 295, 1105, 9633]",risp,22475
"pper ) . Shortly before Easter , Zwingli and his closest associates requested the council to cancel the mass and to introduce the new public order of","[2496, 1723, 869, 13899, 368, 1434, 382, 1901, 1919, 12017, 292, 492, 322, 670, 21438, 4067, 1078, 13877, 278, 18701, 304, 12611, 278, 4158, 322, 304, 14944, 278, 716, 970, 1797, 310]",household,22329
"similar programs for incorporating hip hop into American schools , argues that Flocabulary is culturally inauthentic and refers to Flocabul","[2788, 11104, 363, 11039, 1218, 21464, 8171, 964, 3082, 12462, 1919, 1852, 1041, 393, 383, 2029, 370, 352, 653, 338, 4185, 332, 635, 297, 27218, 322, 14637, 304, 383, 2029, 370, 352]",ulos,19733
"a range of 3 @,@ 500 nautical miles ( 6 @,@ 500 km ; 4 @,","[263, 3464, 310, 29871, 29941, 732, 29892, 29992, 29871, 29945, 29900, 29900, 1055, 329, 936, 7800, 313, 29871, 29953, 732, 29892, 29992, 29871, 29945, 29900, 29900, 2383, 2056, 29871, 29946, 732, 29892]",Mun,13564
"here are those that were applied by the Mary Rose Trust . The hold lay furthest down in the ship , right above the bottom planking below the","[1244, 526, 1906, 393, 892, 7436, 491, 278, 6182, 14008, 20692, 869, 450, 4808, 6568, 3261, 386, 342, 1623, 297, 278, 7751, 1919, 1492, 2038, 278, 5970, 715, 804, 292, 2400, 278]",Roberto,21739
0 pre @-@ primary and 29 kindergarten students . Computer studies and Indonesian language are required subjects for students from Years 3 to ,"[29900, 758, 732, 29899, 29992, 7601, 322, 29871, 29906, 29929, 2924, 15064, 8109, 8041, 869, 20972, 11898, 322, 16704, 713, 4086, 526, 3734, 17800, 363, 8041, 515, 23857, 29871, 29941, 304, 29871]",Driver,12376
"in @-@ related charges , and in 1995 Wiggs decided to pursue other musical projects . Macpherson continued playing with Kim","[262, 732, 29899, 29992, 4475, 21090, 1919, 322, 297, 29871, 29896, 29929, 29929, 29945, 399, 335, 3174, 8459, 304, 12359, 434, 916, 9636, 9279, 869, 4326, 561, 1330, 7572, 8743, 411, 12931]",hom,3632
"while M. pilosula can attack en masse , suggesting these ants can also induce alarm pheromones . M. gulosa indu","[1550, 341, 29889, 8230, 359, 2497, 508, 5337, 427, 5516, 344, 1919, 26233, 1438, 385, 1372, 508, 884, 9013, 346, 21200, 1374, 261, 290, 2873, 869, 341, 29889, 330, 352, 3628, 9013]",ische,2010
"artist ) first met at the 2006 NAMM Show in Anaheim , California , after which they jammed together at Hughes 's","[7664, 1723, 937, 1539, 472, 278, 29871, 29906, 29900, 29900, 29953, 405, 5194, 29924, 7704, 297, 20367, 6391, 1919, 8046, 1919, 1156, 607, 896, 14322, 2168, 4208, 472, 15888, 267, 525, 29879]",дви,16186
"0 km / h ) hurricane , its closest point of approach to the United States . Edouard weakened to tropical storm status on September 3","[29900, 2383, 847, 298, 1723, 298, 1038, 26655, 1919, 967, 21438, 1298, 310, 2948, 304, 278, 3303, 3900, 869, 2155, 283, 538, 8062, 6419, 304, 21881, 14280, 4660, 373, 3839, 29871, 29941]",Fair,13822
"intin to Haddock , who has become "" by far , the most interesting character "" . They praised the "" truly outstanding storytelling ""","[524, 262, 304, 379, 1202, 1698, 1919, 1058, 756, 4953, 376, 491, 2215, 1919, 278, 1556, 8031, 2931, 376, 869, 2688, 7213, 3368, 278, 376, 19781, 714, 11235, 5828, 29873, 7807, 376]",reprezent,17577
3 m ) . It is 150 feet ( 46 m ) from the creek and 0 @.@ 5 miles ( 0,"[29941, 286, 1723, 869, 739, 338, 29871, 29896, 29945, 29900, 6900, 313, 29871, 29946, 29953, 286, 1723, 515, 278, 907, 1416, 322, 29871, 29900, 732, 21240, 29871, 29945, 7800, 313, 29871, 29900]",ница,11519
"enseth to claim the lead . On the 367th lap , Earnhardt began to run out of fuel and made a pit stop one lap","[575, 621, 304, 5995, 278, 3275, 869, 1551, 278, 29871, 29941, 29953, 29955, 386, 23012, 1919, 382, 2753, 25603, 4689, 304, 1065, 714, 310, 26413, 322, 1754, 263, 22754, 5040, 697, 23012]",藏,31707
"keep up the performance , Mr. Krabs replies , "" Just ' til his little heart gives out , Squidward . Just ' til his","[3013, 701, 278, 4180, 1919, 3237, 29889, 476, 4201, 29879, 1634, 3687, 1919, 376, 3387, 525, 6928, 670, 2217, 5192, 4076, 714, 1919, 317, 339, 333, 1328, 869, 3387, 525, 6928, 670]",Async,8123
"973 by amalgamating the best of what could be gleaned from binders and boxes of old notes . However , neither Gygax","[29929, 29955, 29941, 491, 626, 9564, 314, 1218, 278, 1900, 310, 825, 1033, 367, 330, 14044, 287, 515, 7868, 414, 322, 16273, 310, 2030, 11486, 869, 2398, 1919, 9561, 402, 4790, 1165]",delete,8143
ry between the Christian commanders . The Moorish inhabitants of Gibraltar retreated to the castle and surrendered after a few days to Medina Sid,"[719, 1546, 278, 6111, 1899, 414, 869, 450, 4546, 272, 728, 19681, 310, 15347, 1705, 12637, 22162, 630, 304, 278, 20610, 322, 27503, 287, 1156, 263, 2846, 3841, 304, 3436, 1099, 19732]",ext,1294
"not communicated to the Sultan and Temenggung . Similarly , the fact that Britain had not informed Johor about its decision to site the lighthouse","[451, 7212, 630, 304, 278, 27874, 322, 6789, 996, 29887, 686, 869, 20175, 1919, 278, 2114, 393, 14933, 750, 451, 23388, 1861, 272, 1048, 967, 10608, 304, 3268, 278, 301, 18919, 1709]",ordered,21693
"He rallied a group of scientists who criticized the science curriculum in the state of California , which he viewed as far too socially orient","[940, 364, 284, 2957, 263, 2318, 310, 9638, 2879, 1058, 11164, 1891, 278, 10466, 16256, 12906, 398, 297, 278, 2106, 310, 8046, 1919, 607, 540, 24774, 408, 2215, 2086, 5374, 635, 7769]",̩,31677
Residents of the building are zoned to Chicago Public Schools . Residents are zoned to South Loop K @-@ 8 and Phillips Academy,"[2538, 16719, 310, 278, 5214, 526, 503, 22367, 304, 10059, 5236, 4523, 29879, 869, 2538, 16719, 526, 503, 22367, 304, 4275, 21493, 476, 732, 29899, 29992, 29871, 29947, 322, 21856, 4512, 10355]",GER,17070
"the game @-@ winning pass to Lemieux in overtime , to extend the tournament . In the deciding game three , Gretzky and Lem","[278, 3748, 732, 29899, 29992, 15613, 1209, 304, 8836, 13805, 297, 975, 2230, 1919, 304, 10985, 278, 14743, 869, 512, 278, 1602, 4821, 3748, 2211, 1919, 402, 2267, 29920, 3459, 322, 8836]",criptor,11709
"Second Street Market located near downtown Dayton . The Market has more than 50 vendors selling items such as produce , cooked foods","[6440, 7103, 28794, 5982, 2978, 16611, 593, 776, 8373, 880, 869, 450, 28794, 756, 901, 1135, 29871, 29945, 29900, 9691, 943, 269, 7807, 4452, 1316, 408, 7738, 1919, 7984, 287, 9687, 29879]",blocked,24370
990 . It was re @-@ released for the Virtual Console service worldwide for the Wii in 2007 and in Japan for,"[29929, 29929, 29900, 869, 739, 471, 337, 732, 29899, 29992, 5492, 363, 278, 19181, 9405, 2669, 3186, 8157, 363, 278, 399, 2236, 297, 29871, 29906, 29900, 29900, 29955, 322, 297, 5546, 363]",Gen,5739
Haydn misled Forster into believing that no @-@ one else had been offered the set . Artaria learned of the Forster deal but published,"[11389, 5200, 3984, 839, 1152, 2475, 964, 1339, 15387, 393, 694, 732, 29899, 29992, 697, 1683, 750, 1063, 12520, 278, 731, 869, 3012, 4568, 10972, 310, 278, 1152, 2475, 5376, 541, 6369]",swift,12086
"ra Records . It is the last to feature the group 's lead singer , Jim Morrison , who died three months after the album 's release .","[336, 7983, 869, 739, 338, 278, 1833, 304, 4682, 278, 2318, 525, 29879, 3275, 15640, 1919, 8507, 3879, 29878, 2285, 1919, 1058, 6423, 2211, 7378, 1156, 278, 3769, 525, 29879, 6507, 869]",ult,499
"In Chicago , the anarchist movement of several thousand , mostly immigrant , workers centered about the German @-@ language newspaper Arbeiter @-@","[512, 10059, 1919, 278, 385, 1279, 391, 10298, 310, 3196, 10405, 1919, 11149, 5198, 4481, 424, 1919, 17162, 24764, 1048, 278, 5332, 732, 29899, 29992, 4086, 19656, 14140, 1524, 732, 29899, 29992]",Eisen,17215
the island reached 150 km / h ( 93 mph ) . Itelle slowed on April 16 while passing about 4,"[278, 11359, 7450, 29871, 29896, 29945, 29900, 2383, 847, 298, 313, 29871, 29929, 29941, 286, 561, 1723, 869, 739, 1808, 5232, 287, 373, 3786, 29871, 29896, 29953, 1550, 6819, 1048, 29871, 29946]",ymnasium,27384
"udia and Gerhard , and he has a brother , Simon , who is two and a half years younger . He married his long @-@ time girl","[566, 423, 322, 5681, 6800, 1919, 322, 540, 756, 263, 8099, 1919, 11254, 1919, 1058, 338, 1023, 322, 263, 4203, 2440, 20023, 869, 940, 8300, 670, 1472, 732, 29899, 29992, 931, 7826]",quote,14978
"mostly served as nurses in the Queen Alexandra 's Imperial Military Nursing Service ( QAIMNS ) , the First Aid Nurs","[11149, 6766, 408, 302, 1295, 267, 297, 278, 10470, 4827, 10738, 525, 29879, 21080, 20080, 405, 1295, 292, 6692, 313, 660, 29909, 7833, 3059, 1723, 1919, 278, 3824, 319, 333, 405, 1295]",Mann,7908
"v. National Basketball Ass 'n of 1970 . The landmark NBA antitrust suit , named after the then @-@ president of","[325, 29889, 3086, 21850, 4007, 525, 29876, 310, 29871, 29896, 29929, 29955, 29900, 869, 450, 2982, 3502, 21517, 3677, 277, 23575, 14726, 1919, 4257, 1156, 278, 769, 732, 29899, 29992, 6673, 310]",Inc,9266
not be found — he was apparently resting at his estate near Kaunas . This episode was harshly criticized afterwards as an illustration of several weak,"[451, 367, 1476, 813, 540, 471, 13229, 1791, 292, 472, 670, 19989, 2978, 13680, 17496, 869, 910, 12720, 471, 4023, 845, 368, 11164, 1891, 12335, 408, 385, 8632, 362, 310, 3196, 8062]",Vi,10630
: The Eads Bridge in St Louis employed 352 compressed air workers including Alphonse Jaminet as the physician in charge . There,"[584, 450, 382, 7925, 16230, 297, 624, 5899, 15723, 29871, 29941, 29945, 29906, 419, 13120, 4799, 17162, 3704, 838, 17607, 344, 435, 9103, 300, 408, 278, 4824, 8910, 297, 8323, 869, 1670]",iffe,11540
"of Virginia . In December 2011 , the United States Army Corps of Engineers completed a flood mitigation project in Roanoke ,","[310, 11653, 869, 512, 5846, 29871, 29906, 29900, 29896, 29896, 1919, 278, 3303, 3900, 8811, 16408, 310, 10863, 414, 8676, 263, 5685, 397, 1380, 335, 362, 2060, 297, 1528, 1562, 446, 1919]",တ,31560
its releases in the United States since it had been dropped by Reprise . All Super Roots releases were then reissued on Vice in early 20,"[967, 27474, 297, 278, 3303, 3900, 1951, 372, 750, 1063, 13700, 491, 830, 7734, 869, 2178, 5670, 1528, 1862, 27474, 892, 769, 337, 790, 6742, 373, 21400, 297, 4688, 29871, 29906, 29900]",ours,2470
"the ZX Printer was already on the market , as the ZX Spectrum expansion bus was partially backwards @-@ compatible with that of the ZX","[278, 796, 29990, 1588, 1639, 471, 2307, 373, 278, 9999, 1919, 408, 278, 796, 29990, 27738, 5848, 13184, 3593, 471, 22039, 28953, 732, 29899, 29992, 15878, 411, 393, 310, 278, 796, 29990]",dream,12561
"but not of a technical nature since the rocks are not considered solid enough for good anchoring points . For the tallest peaks in the Wind River Range ,","[541, 451, 310, 263, 16905, 5469, 1951, 278, 23150, 526, 451, 5545, 7773, 3307, 363, 1781, 23791, 8253, 3291, 869, 1152, 278, 15655, 342, 1236, 10327, 297, 278, 17311, 6163, 12146, 1919]",charge,8323
"best chance of the game through Kolo Touré , whose shot forced goalkeeper Petr Čech to save in an acrobatic manner . Six minutes before","[1900, 8825, 310, 278, 3748, 1549, 476, 3543, 6371, 29948, 1919, 5069, 10322, 11826, 7306, 23935, 5879, 29878, 7696, 5309, 304, 4078, 297, 385, 1274, 13716, 2454, 8214, 869, 18372, 6233, 1434]",village,5720
"Hutchinson was , either in reality or at least spiritually . The parallel is that Hutchinson was the heretic who metaphorically sedu","[379, 10519, 26803, 471, 1919, 2845, 297, 16832, 470, 472, 3203, 8548, 1474, 869, 450, 8943, 338, 393, 379, 10519, 26803, 471, 278, 902, 7492, 1058, 1539, 481, 2015, 1711, 269, 6085]",ф,30011
"chafed under Motown 's refusal to allow them creative input , they achieved several top 40 hits , including the top five single","[521, 2142, 287, 1090, 7142, 776, 525, 29879, 2143, 375, 284, 304, 2758, 963, 907, 1230, 1881, 1919, 896, 14363, 3196, 2246, 29871, 29946, 29900, 19572, 1919, 3704, 278, 2246, 5320, 2323]",fif,8461
4 @.@ 2 billion ) . Damage to roads alone totaled to $ 2 billion pesos ( $ 153 million 20,"[29946, 732, 21240, 29871, 29906, 24464, 1723, 869, 9865, 482, 304, 25320, 7432, 2025, 7943, 304, 395, 29871, 29906, 24464, 8928, 359, 313, 395, 29871, 29896, 29945, 29941, 7284, 29871, 29906, 29900]",rid,8177
"the control of Tayside Regional Council . Angus , together with Dundee City and Perth & Kinross were re @-@ established following re","[278, 2761, 310, 323, 1036, 680, 16208, 8831, 869, 3218, 375, 1919, 4208, 411, 360, 870, 3905, 4412, 322, 2431, 386, 669, 20311, 2124, 892, 337, 732, 29899, 29992, 7841, 1494, 337]",liked,23289
"@.@ 8 in 1990 . The under 5 mortality rate , per 1 @,@ 000 births is","[732, 21240, 29871, 29947, 297, 29871, 29896, 29929, 29929, 29900, 869, 450, 1090, 29871, 29945, 5758, 2877, 6554, 1919, 639, 29871, 29896, 732, 29892, 29992, 29871, 29900, 29900, 29900, 12060, 29879, 338]",liked,23289
"that normally get written for the topliners "" . He also praised the plotlines , writing that "" what made this episode so great was that not","[393, 12891, 679, 3971, 363, 278, 304, 572, 262, 414, 376, 869, 940, 884, 7213, 3368, 278, 6492, 9012, 1919, 5007, 393, 376, 825, 1754, 445, 12720, 577, 2107, 471, 393, 451]",etr,18184
"ano headed north with nearly two hundred men , expecting to gather more people by the end of the Paraná River . Soldiers from the Blandeng","[1562, 2343, 287, 6641, 411, 8886, 1023, 6893, 1757, 1919, 16120, 304, 11705, 901, 2305, 491, 278, 1095, 310, 278, 1459, 273, 29976, 6163, 869, 19019, 4285, 515, 278, 350, 1049, 996]",れ,30553
"'s libraries . Deeming Nokomis crowded and outdated , the report proposed three options . Option A proposed combining Nokomis with","[525, 29879, 9562, 869, 897, 331, 292, 405, 554, 290, 275, 11660, 7176, 322, 714, 9715, 1919, 278, 3461, 7972, 2211, 3987, 869, 10831, 319, 7972, 29299, 405, 554, 290, 275, 411]",noticed,10548
"to have Jim finally give Pam his card had been considered in the writers ' room for some time , but only during "" A.A.R.M.","[304, 505, 8507, 7146, 2367, 25281, 670, 5881, 750, 1063, 5545, 297, 278, 23550, 525, 5716, 363, 777, 931, 1919, 541, 871, 2645, 376, 319, 29889, 29909, 29889, 29934, 29889, 29924, 29889]",array,1409
"teams would play each other in other bowl games . In 1995 , one of these at @-@ large spots was reserved for the","[10907, 723, 1708, 1269, 916, 297, 916, 12580, 29880, 8090, 869, 512, 29871, 29896, 29929, 29929, 29945, 1919, 697, 310, 1438, 472, 732, 29899, 29992, 2919, 805, 1862, 471, 21676, 363, 278]",deep,6483
enemy aircraft being destroyed . The following day he led a similar attack on Lomme airfield and was recommended for the Distinguished Service Order as a result,"[11103, 15780, 1641, 14416, 869, 450, 1494, 2462, 540, 5331, 263, 2788, 5337, 373, 365, 290, 1004, 4799, 2671, 322, 471, 13622, 363, 278, 6652, 6202, 3276, 6692, 8170, 408, 263, 1121]",passenger,28507
"5 vehicles just west of Rehoboth Beach to a low of 3 @,@ 076 vehicles on the service road at the northern termin","[29945, 24413, 925, 5833, 310, 830, 29882, 711, 720, 17594, 304, 263, 4482, 310, 29871, 29941, 732, 29892, 29992, 29871, 29900, 29955, 29953, 24413, 373, 278, 2669, 6520, 472, 278, 14622, 6624]",жде,8558
Elder illustrated by Akuru Uira was serialized between the July 2010 and February 2012 issues of Kadokawa,"[382, 25943, 26848, 491, 10813, 20144, 501, 3055, 471, 7797, 1891, 1546, 278, 5468, 29871, 29906, 29900, 29896, 29900, 322, 6339, 29871, 29906, 29900, 29896, 29906, 5626, 310, 476, 328, 554, 10011]",uel,2491
"ives to a family archive upon the death of the pontiff . In particular , the archival collections of the Barberini , Farnese , Chigi","[3145, 304, 263, 3942, 18871, 2501, 278, 4892, 310, 278, 13185, 2593, 869, 512, 3153, 1919, 278, 3190, 2561, 16250, 310, 278, 2261, 495, 2172, 1919, 383, 2753, 968, 1919, 678, 10091]",phony,22214
