question,question_ids,answer,answer_ids
 the community lands of the indigenous population remained in their control until the late 19th century. At this,"[248, 1986, 13715, 275, 248, 22837, 4558, 8895, 272, 525, 1873, 1725, 248, 3297, 204, 660, 420, 5594, 204, 25, 1570, 414]", prendre,21517
 Easter Seal Telethon Committee of Meeting Street School. He served on the Rhode Island Bicentennial Commission,"[14632, 31953, 10990, 420, 245, 6628, 275, 13718, 4294, 2793, 204, 25, 707, 5410, 313, 248, 29700, 6252, 341, 49612, 33537, 5935]", coh,18673
" 20, 2009, researchers at JPL announced the discovery of water vapor, carbon","[204, 423, 204, 23, 204, 853, 36, 204, 23, 7979, 388, 462, 8369, 4734, 248, 12070, 275, 1391, 24548, 204, 23, 7151]", manten,35321
" exhibition halls. In an architectural echo of the Louvre, the entrance to the museum is through a","[11592, 27973, 204, 25, 529, 267, 19477, 11501, 275, 248, 5550, 29121, 204, 23, 248, 10614, 271, 248, 9427, 304, 788, 241]", seafood,23304
"ve molluscs in the large family of scallops, the Pectinidae. The Antarctic scall","[298, 62888, 359, 9603, 272, 248, 1902, 1443, 275, 36779, 2379, 204, 23, 248, 337, 24449, 39324, 204, 25, 390, 59063, 36779]",Sense,39257
" animal welfare. These changes, along with the company's new vegetarian offering, the BK","[5985, 15364, 204, 25, 2050, 2778, 204, 23, 1858, 335, 248, 1438, 204, 18, 94, 627, 23723, 4799, 204, 23, 248, 64250]",Martin,28724
" Chandra Datta accompanied him to Surendra Nath Mitra's, house where Ramakrish","[636, 15003, 361, 14122, 13998, 801, 271, 11207, 50218, 53926, 9374, 344, 204, 18, 94, 204, 23, 1820, 881, 9417, 452, 51097]", se,385
 Islam published an apology to the Roman Catholic Church and Christians for the article. The public apology was posted on,"[12018, 4002, 267, 29045, 271, 248, 10112, 9824, 5222, 273, 11763, 312, 248, 2507, 204, 25, 390, 1202, 29045, 398, 5637, 313]",uß,63827
 reference to Goldwater's policies regarding the,"[5515, 271, 4305, 6289, 204, 18, 94, 5966, 4451, 248]", publications,14427
 = Beautiful People ( Chris Brown song ,"[204, 40, 15776, 4813, 204, 19, 7911, 6301, 3172, 204]", volled,62830
 Brown had an additional 19 carries for 74,"[6301, 618, 267, 3149, 204, 660, 14504, 312, 204, 10208]",Tier,61371
", and in 1935 the existence of","[204, 23, 273, 272, 204, 6128, 32, 248, 8508, 275]", vezes,56774
 effect. To avoid giving the Japanese the impression,"[1334, 204, 25, 1472, 3144, 3582, 248, 6944, 248, 10318]", cries,33707
 Denzel Washington as ATF Special Agent Douglas Carl,"[6361, 15827, 4868, 345, 7103, 49, 6155, 16993, 19040, 8142]", Sak,28668
" benefit from treatment is, however, attributed","[4210, 427, 2820, 304, 204, 23, 2537, 204, 23, 20750]", aluminum,14087
" final scene, also censored from television airing","[2297, 5432, 204, 23, 614, 22199, 2033, 427, 8203, 52968]", examines,28078
= = = Dueidar =,"[40, 204, 40, 204, 40, 12768, 300, 270, 204, 40]",sub,5666
 to participate in a jersey @-@ retiring,"[271, 7617, 272, 241, 24045, 204, 43, 24, 43, 36855]",rians,29901
 to at least the eleventh century. The,"[271, 388, 1931, 248, 7684, 30977, 5594, 204, 25, 390]",NER,22608
 Biscayne National Monument. The preserved area was,"[51008, 61206, 2926, 40132, 204, 25, 390, 22161, 1766, 398]", presumption,61347
 = = = 1925 edition,"[204, 40, 204, 40, 204, 40, 204, 6182, 32, 8453]", region,4145
 = Ojo de Agua Raid ,"[204, 40, 432, 6483, 336, 2883, 4951, 8704, 300, 204]",Residents,61287
 @-@ Fi north of the creek about,"[204, 43, 24, 43, 26878, 6775, 275, 248, 37339, 544]",正,10115
" — ordered forces on Sword, Juno","[204, 791, 8552, 6389, 313, 35989, 204, 23, 7843, 90]", rental,9729
et wrote to his mother @-@ in,"[289, 4347, 271, 545, 3116, 204, 43, 24, 43, 272]", ged,26621
", and may reach up to 13 cm ","[23, 273, 724, 3665, 510, 271, 204, 1313, 6401, 204]", tarde,35717
 = = = Hyundai = ,"[204, 40, 204, 40, 204, 40, 34029, 204, 40, 204]", sightings,63029
 German army celebrated the victory and demonstrated its might with,"[6438, 9950, 14374, 248, 9071, 273, 11433, 701, 1295, 335]",coal,21097
 consisting of Odontaspis and Carcharias,"[17618, 275, 13617, 669, 5492, 259, 273, 319, 975, 26952]", patriotic,49411
isons and arms depots throughout its territory on ,"[12924, 273, 5927, 1215, 1698, 3151, 701, 12421, 313, 204]", inc,821
", including Barbados, Dominica, and","[23, 1497, 63974, 204, 23, 14511, 2039, 204, 23, 273]", Basket,19932
 combined printed text and images in an adaptation of The,"[6725, 10143, 2288, 273, 4260, 272, 267, 19885, 275, 390]", moment,2238
"�ց "" Sparapet Hayots ( literally meaning ""","[128, 156, 207, 204, 13, 30180, 523, 289, 11480, 1698, 204, 19, 8672, 4113, 204, 13]", Yah,40337
" compete with each other for nesting space. In particular, ants that prey on termites usually have a","[12153, 335, 1148, 599, 312, 48851, 2151, 204, 25, 529, 2057, 204, 23, 35651, 325, 25269, 313, 1650, 2263, 2767, 413, 241]", Den,6361
 of extreme specialisation. Its publication led almost immediately to research by many other naturalists into specialisation and,"[275, 8653, 1733, 4444, 204, 25, 6054, 9925, 3803, 2376, 4193, 271, 1959, 431, 860, 599, 2616, 1351, 679, 1733, 4444, 273]", dop,11307
" Olympic Winners episode, and talk shows such as Hannity and season 1, episode 21 of","[15789, 40564, 6699, 204, 23, 273, 1719, 3021, 963, 345, 31691, 408, 273, 2120, 204, 28, 204, 23, 6699, 204, 1868, 275]", wrongly,52897
" shore bombardments during operations at Attu and Kiska, Tarawa, the Marshall Islands,","[16610, 51252, 806, 1365, 5342, 388, 4995, 96, 273, 531, 24407, 204, 23, 15769, 9047, 204, 23, 248, 19868, 17059, 204, 23]", Larg,30921
" debatable whether they are part of a strict definition of Rule of Law "". These elements were that "" [ t ] he people must","[2426, 17987, 2303, 506, 362, 622, 275, 241, 8620, 7800, 275, 17780, 275, 3950, 204, 13, 204, 25, 2050, 4803, 646, 325, 204, 13, 204, 70, 240, 204, 72, 332, 692, 1309]", Fox,10685
" broadcast, "" Audition Day "" ranked third in its 9 : 30 p.m. slot, behind CBS'CSI","[10528, 204, 23, 204, 13, 6779, 638, 3228, 204, 13, 13742, 2914, 272, 701, 204, 36, 204, 37, 204, 1067, 260, 25, 88, 25, 5696, 204, 23, 2614, 24330, 204, 18, 57607]", disciple,45539
" month suspension, leading Senna to accuse FIA president Jean @-@ Marie Balestre of favoring his compatriot Prost. Senna ","[1325, 15745, 204, 23, 3736, 302, 17055, 271, 43918, 378, 5172, 4179, 11880, 204, 43, 24, 43, 17275, 8179, 42266, 275, 2381, 263, 545, 8457, 50416, 52264, 204, 25, 302, 17055, 204]",STA,33037
"1895, 46 of ","[9695, 32, 204, 23, 204, 4559, 275, 204]", Allergy,51550
", even against the West Indies ","[204, 23, 830, 1542, 248, 3431, 53970, 204]", Veranst,43311
"ie "", as she was affectionately known, was saved from the scrap pile when veterans and","[396, 204, 13, 204, 23, 345, 674, 398, 19451, 1450, 2245, 204, 23, 398, 8173, 427, 248, 15334, 15341, 635, 17159, 273]", hut,44302
. His skin has been preserved through taxidermy although his skull was modified in 1923 to match the Saint Bernard of that time period.,"[204, 25, 2591, 2703, 504, 650, 22161, 788, 2394, 300, 834, 100, 4424, 545, 23046, 398, 12174, 272, 204, 6182, 30, 271, 3185, 248, 10481, 22601, 275, 325, 601, 2397, 204, 25]", Casino,7111
" that has existed since the ancient Kingdom of Armenia. The phrase "" Սպարապետ","[325, 504, 16270, 1428, 248, 8245, 9721, 275, 48123, 204, 25, 390, 11765, 204, 13, 204, 155, 219, 155, 130, 155, 106, 156, 206, 155, 106, 155, 130, 155, 110, 155, 135]",UINT,63949
" Reprise ) "" – Linda Dee","[2139, 16513, 204, 20, 204, 13, 204, 600, 19982, 35123]",DO,4310
" The Animals in War Memorial in London commemorates animals, including horses, that served with the British and their allies in all wars. The inscription reads","[390, 28114, 272, 3710, 13950, 272, 4414, 26610, 750, 5632, 204, 23, 1497, 11758, 204, 23, 325, 5410, 335, 248, 5282, 273, 525, 19953, 272, 455, 15219, 204, 25, 390, 44764, 14127]", Viet,10491
" behaved inappropriately, and that he and Hurlbut had talked after the incident and fully resolved the issue. Bale acknowledged that the two worked together","[54715, 272, 15700, 1450, 204, 23, 273, 325, 332, 273, 370, 4584, 3945, 618, 8242, 852, 248, 8549, 273, 3894, 15974, 248, 2645, 204, 25, 60329, 18259, 325, 248, 847, 3320, 1774]", teas,23032
", which he does, finding a man named Cane Miro ( John Ireland ). As Cane enters town, Rose shoots at him","[204, 23, 585, 332, 960, 204, 23, 4863, 241, 546, 5200, 55286, 331, 7165, 204, 19, 2345, 9226, 204, 20, 204, 25, 1130, 55286, 20866, 3371, 204, 23, 8145, 28146, 388, 801]",不�,23741
" "" personality, but the producers feared that she was not "" tough "" enough for the role, which was offered to actress Jennifer Aniston","[204, 13, 9433, 204, 23, 480, 248, 13821, 25736, 325, 674, 398, 416, 204, 13, 6716, 204, 13, 1713, 312, 248, 2836, 204, 23, 585, 398, 4487, 271, 14441, 16607, 1060, 32086]", wagers,47399
" of measure was first given a legal basis in 1795 by the French Revolutionary government. Article 5 of the law of 18 Germinal,","[275, 4327, 398, 772, 2132, 241, 3309, 4433, 272, 204, 14824, 32, 431, 248, 5063, 49935, 2183, 204, 25, 10495, 204, 32, 275, 248, 1651, 275, 204, 1121, 3647, 1453, 204, 23]",把,11476
 to her inexperience of the world and prone to be nihilistic. Her name is directly drawn from both the eponymous gemstone and the mineral benito,"[271, 573, 272, 45990, 275, 248, 1079, 273, 18984, 271, 314, 287, 42342, 3010, 204, 25, 2783, 1536, 304, 3644, 9655, 427, 1216, 248, 2957, 9586, 59051, 273, 248, 14883, 1486, 4114]", dearest,60111
" abilities. Depending on their types, absorbed Otellos can be used to fight, heal or be shot as a projectile weapon. Multiple Ot","[10991, 204, 25, 19501, 313, 525, 3059, 204, 23, 22185, 16880, 39512, 418, 314, 1042, 271, 3380, 204, 23, 12668, 379, 314, 4556, 345, 241, 1441, 558, 11031, 204, 25, 19683, 16880]", tw,748
-@ northwest and strengthened quickly to peak winds of 140 mph ( 220 km / h ) on September 12. This made it,"[24, 43, 35209, 273, 33549, 2976, 271, 10648, 17449, 275, 204, 9690, 24846, 204, 19, 204, 12149, 8027, 204, 26, 278, 204, 20, 313, 3278, 204, 928, 204, 25, 735, 1021, 334]", professor,10065
" 2013, Chief Keef celebrated by releasing the mixtape Bang, Pt. 2. Bang, Pt. 2","[204, 626, 30, 204, 23, 7825, 2602, 761, 14374, 431, 18776, 248, 61554, 1948, 9772, 204, 23, 45754, 204, 25, 204, 29, 204, 25, 9772, 204, 23, 45754, 204, 25, 204, 29]",kont,49518
. It was written by Krista Vernoff and directed by Bill D 'Elia. The episode was originally broadcast on the American Broadcasting Company ,"[204, 25, 605, 398, 3523, 431, 16230, 76, 26827, 2710, 273, 9009, 431, 6216, 361, 204, 18, 5337, 494, 204, 25, 390, 6699, 398, 8506, 10528, 313, 248, 2281, 48529, 4927, 204]", Chr,51764
 presence of light brown pigmentation on the skin called café au lait spots. These were never observed on Merrick's body. Neurofib,"[5312, 275, 1547, 6537, 12862, 16512, 313, 248, 2703, 1964, 23056, 2795, 59884, 9985, 204, 25, 2050, 646, 1328, 7790, 313, 31593, 588, 204, 18, 94, 1691, 204, 25, 20595, 81, 518]", identified,6935
" a plastic @-@ bristle dog brush to apply the oil paint onto the canvas. By the time of his death, Look Mickey was regarded","[241, 6105, 204, 43, 24, 43, 809, 17286, 3696, 10633, 271, 3137, 248, 2476, 4337, 4817, 248, 15482, 204, 25, 2702, 248, 601, 275, 545, 2787, 204, 23, 8114, 34629, 398, 15475]",edar,18329
"'s front half gives way to an emotionally dense second half. "" Veering from synth @-@ funk to slow jam styles,","[204, 18, 94, 2365, 2465, 3483, 818, 271, 267, 18965, 19428, 1459, 2465, 204, 25, 204, 13, 5187, 1369, 427, 33390, 204, 43, 24, 43, 40159, 271, 3360, 10361, 8813, 204, 23]","

 ",4824
erg were set on a steady state of evolution and conflict. The core idea of this'religion'was that there was a state that the z,"[6021, 646, 889, 313, 241, 12782, 1592, 275, 9359, 273, 8211, 204, 25, 390, 5304, 2163, 275, 414, 204, 18, 8271, 204, 18, 398, 325, 629, 398, 241, 1592, 325, 248, 725]", strap,19195
" brothers split their restaurant business between them following a disagreement over the direction that their joint business should take, Albert took Le Gavroche, while Michel","[11792, 8449, 525, 6012, 1100, 1192, 612, 1863, 241, 38497, 648, 248, 4934, 325, 525, 6168, 1100, 808, 980, 204, 23, 17018, 2065, 1135, 401, 543, 290, 1269, 204, 23, 1093, 12106]", ministre,54971
" his upcoming F. A. examination, when Ram Chandra Datta accompanied him to Surendra Nath Mitra's, house where Ramak","[545, 8229, 378, 25, 317, 25, 11889, 204, 23, 635, 9417, 636, 15003, 361, 14122, 13998, 801, 271, 11207, 50218, 53926, 9374, 344, 204, 18, 94, 204, 23, 1820, 881, 9417, 452]", emissions,11643
" for the WWE Intercontinental Championship. During the match, Benjamin got up on the ring apron and tried to take out Tyson Tomko, who accompanied","[312, 248, 36620, 4122, 57331, 15224, 204, 25, 6599, 248, 3185, 204, 23, 20529, 1331, 510, 313, 248, 5444, 47298, 273, 3506, 271, 980, 495, 45346, 5736, 5664, 204, 23, 569, 13998]", Ranch,19948
". Despite this, the Johnson","[204, 25, 10744, 414, 204, 23, 248, 7822]", días,21544
= = Early life = ,"[40, 204, 40, 12955, 1063, 204, 40, 204]", eats,30364
 his more conventional stories to the US magazines,"[545, 520, 11301, 4050, 271, 248, 1571, 18028]", voit,48142
 the seed follicles of the dead infruct,"[248, 8571, 56764, 275, 248, 3617, 1129, 1229]", implications,14124
 = = Books = ,"[204, 40, 204, 40, 10558, 204, 40, 204]", Ark,14400
zel Washington as ATF Special Agent Douglas,"[15827, 4868, 345, 7103, 49, 6155, 16993, 19040]",848,53080
= = Episodes = ,"[40, 204, 40, 7081, 42625, 204, 40, 204]",AAA,57670
 = = Personnel = ,"[204, 40, 204, 40, 49021, 204, 40, 204]",ENSE,34312
