question,answer,question_ids,answer_ids
" races, Stanley", Garton ,"[13325, 204, 23, 20540]","[401, 40213, 204]"
""" a strong recommendation", to government that,"[13, 241, 2127, 14477]","[271, 2183, 325]"
'-,na hon u,"[204, 18, 204, 24]","[1797, 2799, 305]"
 ejection of Portland,'s,"[293, 26209, 275, 16401]","[204, 18, 94]"
 – were merged,. According,"[204, 600, 646, 30245]","[204, 25, 6480]"
tskin might think, he is doing,"[915, 6238, 1295, 864]","[332, 304, 1836]"
 species adapted to the, slough include,"[6114, 16911, 271, 248]","[1027, 754, 1965]"
 – some will, fancy it ,"[204, 600, 596, 451]","[14042, 334, 204]"
 he apparently agreed to, wed Ead,"[332, 9340, 7213, 271]","[23796, 399, 308]"
 Gottfried Reinhardt, asserts that Kra,"[28521, 33942, 25227, 34089]","[46365, 325, 22896]"
 entered the competition ,. There are,"[7899, 248, 5867, 204]","[25, 1293, 362]"
. Nathan Grayson, of VG247,"[204, 25, 20238, 55395]","[275, 61935, 26986]"
 UA during official meetings,". 
","[54023, 1365, 3332, 8008]","[204, 25, 4610]"
I.D., 21 ,"[52, 25, 47, 25]","[204, 1868, 204]"
 passes through the core, of a spiral,"[12000, 788, 248, 5304]","[275, 241, 27479]"
 the sum of card, values in b,"[248, 8370, 275, 2315]","[4184, 272, 262]"
 of the night ,", Henry sparked","[275, 248, 1809, 204]","[23, 9566, 31472]"
 talked about it ,", but I","[8242, 544, 334, 204]","[23, 480, 295]"
", William F."," Buckley,","[23, 7533, 378, 25]","[61305, 204, 23]"
-@ A Trent,on Thunder of,"[24, 43, 317, 24172]","[245, 22482, 275]"
" Edward Coke,", who is considered,"[13865, 44906, 204, 23]","[569, 304, 3558]"
", 200",8 –,"[204, 23, 204, 853]","[35, 204, 600]"
 The Apollo @,-@ Soy,"[390, 32061, 204, 43]","[24, 43, 34372]"
 it does not contain, the additional content,"[334, 960, 416, 4020]","[248, 3149, 2147]"
", Des Jard",ien played semi,"[23, 2175, 462, 435]","[1423, 3983, 11145]"
 November 2014,. Moreover,"[3895, 204, 626, 31]","[204, 25, 10299]"
", Arana",'s,"[204, 23, 1118, 2214]","[204, 18, 94]"
", tough,", and violent atmosphere,"[23, 6716, 204, 23]","[273, 12648, 8922]"
 @-@, under @,"[204, 43, 24, 43]","[813, 204, 43]"
-@ level institution, being the University,"[24, 43, 1445, 10459]","[1003, 248, 2000]"
 not the counterslab,. These,"[416, 248, 31272, 17906]","[204, 25, 2050]"
 Tony Award @,-@ winning,"[12701, 7527, 204, 43]","[24, 43, 6336]"
""" high speed mail", plane for L,"[13, 986, 3804, 5570]","[9423, 312, 393]"
 for the launch of, the final book,"[312, 248, 5522, 275]","[248, 2297, 1204]"
 included the introduction of, a new school,"[3345, 248, 9705, 275]","[241, 627, 1473]"
@ 000 ,", though the","[43, 204, 1321, 204]","[23, 1792, 248]"
1030 –, 1032,"[12615, 27, 204, 600]","[204, 12615, 29]"
 the Land @,-@ Grant,"[248, 6045, 204, 43]","[24, 43, 12571]"
" 65,", due to lack,"[204, 4224, 204, 23]","[2159, 271, 3795]"
", they made", the characters step,"[204, 23, 506, 1021]","[248, 5058, 2006]"
", "" Ch",ilton rhaps,"[23, 204, 13, 636]","[10637, 392, 3140]"
 the teaser trailer ,", he signed","[248, 47122, 12593, 204]","[23, 332, 6604]"
 March 21 ,", 183","[3102, 204, 1868, 204]","[23, 204, 12315]"
 distinctions can be made, regarding the genre,"[47313, 418, 314, 1021]","[4451, 248, 12042]"
ha. Bl,ofeld instruct,"[2188, 204, 25, 1282]","[1487, 5247, 4775]"
�bler @,-@ Ross,"[132, 17124, 204, 43]","[24, 43, 12943]"
 recorded a save against, the Baltimore Ori,"[7831, 241, 3425, 1542]","[248, 18420, 16257]"
", and Anastas",ie arrives too,"[23, 273, 59285, 277]","[396, 19577, 892]"
 and can give them, superhuman abilities,"[273, 418, 1444, 612]","[2014, 15564, 10991]"
 orchestra sections were done,", Ahmad","[33887, 9866, 646, 1782]","[204, 23, 38321]"
 his child or ward,", as the","[545, 1213, 379, 13433]","[204, 23, 345, 248]"
. He was allowed, to work in an,"[25, 707, 398, 4217]","[271, 633, 272, 267]"
", told fellow", baseball author Marty App,"[204, 23, 2276, 8118]","[11486, 2402, 39516, 1810]"
", and 16", RBI. Also,"[23, 273, 204, 1243]","[34657, 204, 25, 3767]"
@-@ times, platinum by the Recording,"[43, 24, 43, 1762]","[29597, 431, 248, 41171]"
 the cathedral precent,"or, Adam","[248, 41051, 634, 1467]","[252, 204, 23, 10272]"
 formulated lipid cocktail ,( s ),"[27726, 35044, 19412, 204]","[19, 247, 204, 20]"
 He started an ambitious, project that generated most,"[707, 2075, 267, 20059]","[1441, 325, 8583, 758]"
 a reservist with, the SAS in the,"[241, 13548, 383, 335]","[248, 37433, 272, 248]"
-@ cow hybrid, and several huts,"[24, 43, 10090, 12318]","[273, 1988, 278, 4992]"
 Chicago Divinity School, theologian Shail,"[6685, 6387, 8896, 2793]","[49309, 715, 1077, 549]"
 again in line ,41 ( ,"[968, 272, 1739, 204]","[5205, 204, 19, 204]"
 poisoning have led to, cattle deaths.,"[32231, 413, 3803, 271]","[19184, 10573, 204, 25]"
 by a lust for," power, not","[431, 241, 21917, 312]","[1484, 204, 23, 416]"
 echinoderm,s ) ,"[18792, 242, 349, 834]","[94, 204, 20, 204]"
@ on collision between, two tramcars ,"[43, 313, 21356, 1192]","[847, 18968, 50635, 204]"
", while numerous locations", recorded at least ,"[23, 1093, 5593, 6477]","[7831, 388, 1931, 204]"
 Earl of Eust,"on, as","[25738, 275, 399, 411]","[245, 204, 23, 345]"
 Previous EU titles will, be reprinted under,"[22804, 6972, 9997, 451]","[314, 292, 40521, 813]"
 All three athletes competed, in two events ,"[1495, 1373, 12634, 38372]","[272, 847, 2863, 204]"
 upon in various episodes,. The backstory,"[2918, 272, 2458, 12144]","[204, 25, 390, 59622]"
 built by both the, Azeri and Iranian,"[3426, 431, 1216, 248]","[35390, 84, 273, 23985]"
 ( 0, @.@,"[204, 19, 204, 27]","[204, 43, 25, 43]"
quan situated just, north of Nanking,"[346, 257, 16792, 645]","[6775, 275, 409, 26317]"
. The two, armies met at Sam,"[204, 25, 390, 847]","[37769, 1345, 388, 4770]"
 and is a major, tourist attraction.,"[273, 304, 241, 2084]","[14460, 17391, 204, 25]"
. Meanwhile ,", Peter decides to","[204, 25, 16359, 204]","[23, 6922, 18301, 271]"
 on July 17,. The move,"[313, 3313, 204, 1392]","[204, 25, 390, 1822]"
 to passengers who have, not pre @,"[271, 14414, 569, 413]","[416, 634, 204, 43]"
 icons. Political, commentator Andrew Sullivan dubbed,"[20061, 204, 25, 19047]","[55107, 9484, 25808, 31928]"
 Republican minority leader of, the Illinois House of,"[9771, 16074, 5467, 275]","[248, 11233, 3487, 275]"
 where the lessons of, religion and education are,"[881, 248, 8767, 275]","[8271, 273, 3065, 362]"
 producing artistic director ,. Huddle had,"[9886, 14219, 5219, 204]","[25, 370, 44818, 618]"
"2012,", the Swiss Railway company,"[626, 29, 204, 23]","[248, 16364, 31557, 1438]"
"lers, run", the buffalo around F,"[10017, 204, 23, 1257]","[248, 42361, 1111, 378]"
s second expedition to, the Pacific (,"[94, 1459, 32303, 271]","[248, 9807, 204, 19]"
 from Farnborough,", although a","[427, 378, 1062, 21345]","[204, 23, 4424, 241]"
 on the target ,. The radar switch,"[313, 248, 2865, 204]","[25, 390, 21324, 5586]"
", NFL owners used", the threat of a,"[23, 11099, 4686, 1042]","[248, 4141, 275, 241]"
" Ogre """, ) from Tek,"[432, 17188, 204, 13]","[204, 20, 427, 49479]"
 NID ),", or by","[409, 1656, 204, 20]","[204, 23, 379, 431]"
", but these were", impossible to repair and,"[23, 480, 783, 646]","[6979, 271, 6089, 273]"
 other songs on All, Things Must Pass ,"[599, 6640, 313, 1495]","[10659, 11994, 6898, 204]"
 named in the deed, of confirmation issued by,"[5200, 272, 248, 30688]","[275, 15355, 7808, 431]"
 Predators of giant, mouse lemurs include,"[16526, 2475, 275, 9598]","[11232, 63025, 1456, 1965]"
", the Croatian", parliament ratified the,"[204, 23, 248, 64191]","[18947, 5014, 1598, 248]"
 C. Carson ,", Erin Torpe","[319, 25, 30257, 204]","[23, 31379, 5921, 449]"
 six are secondary eyes,", positioned along","[2972, 362, 9980, 2446]","[204, 23, 19267, 1858]"
 dollars to fill the," demand, the","[6442, 271, 5290, 248]","[3444, 204, 23, 248]"
 from the indigenous population,", his administration","[427, 248, 22837, 4558]","[204, 23, 545, 6354]"
"0, ",""" Kissing You","[27, 204, 23, 204]","[13, 25661, 263, 781]"
 included. The, other founders agreed to,"[3345, 204, 25, 390]","[599, 25834, 7213, 271]"
 real estate owned by, the Jewish Community of,"[1059, 5513, 8439, 431]","[248, 9272, 5913, 275]"
. It was these, little touches that ,"[25, 605, 398, 783]","[1278, 19748, 325, 204]"
 sang to the people, through him.,"[15363, 271, 248, 692]","[788, 801, 204, 25]"
 was nominated for a, Writers Guild of America,"[398, 21438, 312, 241]","[30141, 26650, 275, 3328]"
 gradual estrangement, of Brian Jones and,"[28237, 949, 23890, 845]","[275, 11692, 8447, 273]"
 It was broadcast to, cinemas around the world,"[605, 398, 10528, 271]","[61946, 1111, 248, 1079]"
" of Honor,", posthumously recognizing,"[275, 22131, 204, 23]","[1106, 17320, 4105, 25321]"
" "" enthralling"," "" as Head","[204, 13, 57481, 17322]","[204, 13, 345, 6689]"
 the frontier prefect,ural leader Thà,"[248, 38679, 634, 1560]","[2240, 5467, 526, 2575]"
 and amphibians survive, from one year to,"[273, 56582, 3112, 10403]","[427, 532, 649, 271]"
"52 @,",@ 000 ,"[6265, 204, 43, 23]","[43, 204, 1321, 204]"
" Polish king,", but as Saxon,"[20327, 6693, 204, 23]","[480, 345, 35712, 245]"
 been misled. It was also, noted that,"[650, 3592, 1046, 204, 25, 605, 398, 614]","[6674, 325]"
 the northwestern part of the watershed ,( in,"[248, 6775, 18257, 622, 275, 248, 48902, 204]","[19, 272]"
 the E @-@ flat major, version ,"[248, 399, 204, 43, 24, 43, 5811, 2084]","[2684, 204]"
 ( Frances Conroy ) reminds, Vivien,"[204, 19, 23423, 1412, 4968, 204, 20, 15395]","[24786, 1423]"
", high waves from the storm left one", ship ,"[23, 986, 11612, 427, 248, 7695, 1786, 532]","[5938, 204]"
", adopted a new "" provisional design"," ""","[23, 10429, 241, 627, 204, 13, 54246, 1168]","[204, 13]"
 the site of a significant massacre by the, Indian forces,"[248, 1692, 275, 241, 2589, 43141, 431, 248]","[4673, 6389]"
 on the planet from a variety of races,.,"[313, 248, 7712, 427, 241, 3451, 275, 13325]","[204, 25]"
 Raven ended up on the losing end of, the bout,"[33106, 5738, 510, 313, 248, 7461, 991, 275]","[248, 13152]"
 of americium were also detected at, the crash,"[275, 13674, 276, 1509, 646, 614, 14954, 388]","[248, 11019]"
" – 18, 19", –,"[204, 600, 204, 1121, 204, 23, 204, 660]","[204, 600]"
" Vulgate, ending on """,...,"[28863, 15620, 204, 23, 9750, 313, 204, 13]","[204, 951]"
 Southern medical schools and teaching hospitals., Later ,"[9338, 3062, 4698, 273, 5471, 11742, 204, 25]","[15743, 204]"
 Cedrón played a Paraguayan, brother of,"[46480, 8257, 123, 89, 3983, 241, 63384, 23573]","[4612, 275]"
", I've never been", a huge,"[204, 23, 295, 204, 18, 298, 1328, 650]","[241, 3534]"
" Course Test, or EOCT",",","[12749, 4886, 204, 23, 379, 399, 58, 4274]","[204, 23]"
 unique form is called an allele ,", and","[2849, 1052, 304, 1964, 267, 5794, 274, 204]","[23, 273]"
 by damage from the formation and growth of, bubbles of,"[431, 4233, 427, 248, 9962, 273, 3047, 275]","[27131, 275]"
@ 500 and 6 @,",@","[43, 204, 3087, 273, 204, 33, 204, 43]","[23, 43]"
"@-@ 15 flights,", three of,"[43, 24, 43, 204, 1030, 12046, 204, 23]","[1373, 275]"
 Bergeron and Spatial Synoptic Classification systems, focus on,"[45483, 245, 273, 64107, 20101, 52192, 39185, 2876]","[1966, 313]"
's 1903 ope,retta starring,"[204, 18, 94, 204, 7001, 30, 264, 449]","[63239, 22749]"
 a four @-@ on ,@-,"[241, 1855, 204, 43, 24, 43, 313, 204]","[43, 24]"
" can 't sing, a", composer can,"[418, 204, 18, 95, 1715, 204, 23, 241]","[24438, 418]"
 frogs have since undergone dramatic divergences, –,"[53557, 413, 1428, 36679, 13039, 20277, 82, 2053]","[204, 600]"
ille gave Giacchino his first, Academy Award,"[2473, 3416, 401, 7964, 327, 1481, 545, 772]","[8130, 7527]"
 % nationally and 28 @,.@,"[204, 16, 23089, 273, 204, 2086, 204, 43]","[25, 43]"
 species of thrushes can also be found,.,"[6114, 275, 5813, 12785, 418, 614, 314, 1217]","[204, 25]"
 2010 – 11 season, scoring a,"[204, 626, 27, 204, 600, 204, 1069, 2120]","[14507, 241]"
", with a maximum concentration of ",150 micro,"[204, 23, 335, 241, 5899, 10533, 275, 204]","[4737, 4468]"
 P @-@ 36 Hawk, (,"[337, 204, 43, 24, 43, 204, 2945, 35213]","[204, 19]"
"ley, and also Ifield ",", to","[1844, 204, 23, 273, 614, 972, 1262, 204]","[23, 271]"
 Francisco fanzine Search and Destroy ,: ,"[8863, 4838, 101, 438, 8166, 273, 47849, 204]","[37, 204]"
 the center of the writing have been interpreted, by several,"[248, 3613, 275, 248, 2607, 413, 650, 23575]","[431, 1988]"
" On December 15, 200",7 ,"[1440, 3960, 204, 1030, 204, 23, 204, 853]","[34, 204]"
 How to Beat Jet Lag. New, York ,"[1265, 271, 14542, 19692, 16929, 204, 25, 1184]","[2798, 204]"
 is a significant part of the work of, the diving,"[304, 241, 2589, 622, 275, 248, 633, 275]","[248, 21309]"
 however their size does not reflect their age,.,"[2537, 525, 2275, 960, 416, 4465, 525, 2521]","[204, 25]"
" Castelli to James Florence Burke,", who claimed,"[7565, 9452, 271, 4826, 26115, 34009, 204, 23]","[569, 9467]"
", which is initiated when the player has", weakened a,"[23, 585, 304, 21154, 635, 248, 3850, 504]","[36765, 241]"
 their being used to fund violence., Before exporting,"[525, 1003, 1042, 271, 2018, 6789, 204, 25]","[7458, 46935]"
" James Hibberd, of The", Live Feed,"[4826, 52929, 552, 79, 204, 23, 275, 390]","[7232, 14368]"
 museum's entrance was redesigned by, Clash Architects,"[9427, 204, 18, 94, 10614, 398, 46845, 431]","[56749, 37488]"
"'s Third Army, reaching a", stable area,"[18, 94, 13839, 9475, 204, 23, 10255, 241]","[8567, 1766]"
" next year, Li Yuan deposed", the Su,"[1407, 649, 204, 23, 11221, 40704, 1215, 1884]","[248, 1812]"
" September 1956, was cancelled", owing to,"[3278, 204, 5021, 33, 204, 23, 398, 20843]","[29637, 271]"
essandro Simonelli's journal, and describes,"[368, 25267, 12616, 9452, 204, 18, 94, 5600]","[273, 11117]"
", Pliny the Elder, present", a highly,"[23, 1270, 3937, 248, 27203, 204, 23, 1652]","[241, 3766]"
" life, and therefore all family members", are imp,"[1063, 204, 23, 273, 4859, 455, 1443, 2094]","[362, 902]"
 which the player participated for the team during, the season,"[585, 248, 3850, 15737, 312, 248, 1255, 1365]","[248, 2120]"
 for these costs to exclude armament and, stores ,"[312, 783, 3476, 271, 25540, 4523, 1639, 273]","[6260, 204]"
", Gretzky continued to play", under his,"[204, 23, 55825, 101, 2950, 4902, 271, 884]","[813, 545]"
ondraty Ryleyev ,. It,"[591, 4917, 100, 382, 1790, 5700, 97, 204]","[25, 605]"
 the theatre half @-@ way, through performances,"[248, 16131, 2465, 204, 43, 24, 43, 818]","[788, 11928]"
 when the Great Sejm begun in ,1788,"[635, 248, 4212, 1154, 29692, 13077, 272, 204]","[16790, 35]"
 north of the island and that it had, intensified to,"[6775, 275, 248, 7498, 273, 325, 334, 618]","[52326, 271]"
 F. Kennedy in the final episode ,". 
","[378, 25, 16418, 272, 248, 2297, 6699, 204]","[25, 4610]"
 Argentina. This species is now thought, to be,"[19936, 204, 25, 735, 6114, 304, 849, 1465]","[271, 314]"
 four years previously had been purchased by Paris, Saint ,"[1855, 909, 5903, 618, 650, 7849, 431, 6671]","[10481, 204]"
". However, the radome ",@-,"[25, 2071, 204, 23, 248, 2868, 437, 204]","[43, 24]"
 Japanese American singer Hikaru Utada, covered the,"[6944, 2281, 12452, 370, 807, 21691, 7925, 1688]","[5178, 248]"
 and image. Gag cartoons first, began to,"[273, 3203, 204, 25, 401, 353, 38432, 772]","[3465, 271]"
 When the Egyptian occupation ended and Acre, declined ,"[1699, 248, 22559, 21325, 5738, 273, 3449, 244]","[16530, 204]"
" with the series'readers,", often appearing,"[335, 248, 2559, 204, 18, 6770, 204, 23]","[1764, 18373]"
", Hampshire, England.", Built in about,"[204, 23, 22666, 204, 23, 6118, 204, 25]","[20322, 272, 544]"
 favored the Confederacy. Radicals,", including","[28579, 248, 29839, 1754, 204, 25, 6147, 19368]","[204, 23, 1497]"
 for the procedure but relents after seeing, Rogers commit an,"[312, 248, 6891, 480, 804, 586, 852, 4374]","[22990, 5067, 267]"
 dance called'the spirit of the, flame ',"[7070, 1964, 204, 18, 248, 4176, 275, 248]","[18988, 204, 18]"
 the age of 19. On, 28 August,"[248, 2521, 275, 204, 660, 204, 25, 1440]","[204, 2086, 3333]"
" "" was watched by 7 ",@.@,"[204, 13, 398, 7417, 431, 204, 34, 204]","[43, 25, 43]"
 pea dish was the worst of the offerings,. ,"[50482, 7270, 398, 248, 7290, 275, 248, 14526]","[204, 25, 204]"
" Cobourg Peninsula, while tides", were estimated at,"[22944, 377, 82, 31850, 204, 23, 1093, 60618]","[646, 8719, 388]"
 in Warwick and Pawtuxet ,", and most","[272, 49650, 273, 32550, 95, 1602, 289, 204]","[23, 273, 758]"
 contact between Wizards of the Coast and the, band.,"[2072, 1192, 61070, 275, 248, 9629, 273, 248]","[4129, 204, 25]"
 yet been carried out owing to heavy fl,anking artillery fire,"[2035, 650, 6728, 495, 29637, 271, 4892, 738]","[26317, 38084, 2858]"
 Bahamas and acquired a closed circulation late on, October 10,"[45462, 273, 10860, 241, 4899, 16234, 3297, 313]","[3692, 204, 696]"
" 1809, was miserably", below the level,"[204, 7159, 36, 204, 23, 398, 21153, 1517]","[2249, 248, 1445]"
 single in mid @-@ ,1986 ,"[2278, 272, 3852, 204, 43, 24, 43, 204]","[2747, 33, 204]"
" has issued 2 @,@", 340 Certificates,"[504, 7808, 204, 29, 204, 43, 23, 43]","[204, 22996, 53364]"
 To the south are Dinas Bach and, Dinas M,"[1472, 248, 6520, 362, 361, 14601, 22921, 273]","[361, 14601, 331]"
 year later he called a snap election and, spearheaded them,"[649, 2185, 332, 1964, 241, 12437, 6675, 273]","[30490, 24004, 612]"
" angle, was restored in the late", 20th,"[10771, 204, 23, 398, 18687, 272, 248, 3297]","[204, 423, 420]"
" Finnigan Holden McCormack, born", on July ,"[21564, 6910, 48680, 55565, 448, 204, 23, 4808]","[313, 3313, 204]"
" regular season in 1947,", Michigan was ranked,"[3000, 2120, 272, 204, 5387, 34, 204, 23]","[9214, 398, 13742]"
 was foremost that the new songs worked on, an emotional level,"[398, 23044, 325, 248, 627, 6640, 3320, 313]","[267, 6813, 1445]"
" October 26, 1895", in a game,"[3692, 204, 2126, 204, 23, 204, 9695, 32]","[272, 241, 1404]"
 and fall in water level experienced by seas, and oceans in,"[273, 2314, 272, 1391, 1445, 4750, 431, 23317]","[273, 33795, 272]"
", the official news agency of the Communist", Party of China,"[23, 248, 3332, 2511, 6202, 275, 248, 30308]","[6865, 275, 3603]"
 famous Japanese entertainer. Their plan, is for one,"[5868, 6944, 5318, 246, 204, 25, 5690, 1353]","[304, 312, 532]"
measures ( ECM ), duties.,"[1275, 13947, 204, 19, 14989, 56, 204, 20]","[12354, 204, 25]"
@ 2 km )., In the W,"[43, 204, 29, 8027, 204, 20, 204, 25]","[529, 248, 367]"
't shocked when she did it ,". ""","[18, 95, 16173, 635, 674, 826, 334, 204]","[25, 204, 13]"
" "". The third woman to", mark Abu Shab,"[204, 13, 204, 25, 390, 2914, 2961, 271]","[3640, 20496, 49901]"
""" as the "" song of the"," week ""","[13, 345, 248, 204, 13, 3172, 275, 248]","[1356, 204, 13]"
 countered by vetoing several Democratic bills ,", including ","[55279, 431, 42640, 263, 1988, 11679, 10222, 204]","[23, 1497, 204]"
" the film's protagonist,", Dr. Eleanor,"[248, 2675, 204, 18, 94, 30537, 204, 23]","[2609, 25, 38944]"
 ( described by Wally Snell, and Esther A,"[204, 19, 5383, 431, 367, 446, 7930, 433]","[273, 41097, 317]"
( ~ 13 @.,@ 8,"[19, 204, 105, 204, 1313, 204, 43, 25]","[43, 204, 35]"
pin and Lawson in the Blue Mountains west, of Sydney.,"[15554, 273, 53820, 272, 248, 5721, 23418, 9158]","[275, 13684, 25]"
 rating of 12 @.@, 8 and,"[8689, 275, 204, 928, 204, 43, 25, 43]","[204, 35, 273]"
 McGovern remained neutral. McGovern, hosted all three,"[16422, 4013, 8895, 11430, 204, 25, 16422, 4013]","[11465, 455, 1373]"
 the sites of the aging forts into a," "" Fort","[248, 3370, 275, 248, 14774, 42672, 679, 241]","[204, 13, 7369]"
" John Pilger, journalist and document","arian,","[2345, 14108, 1548, 204, 23, 16699, 273, 3268]","[7656, 204, 23]"
", at least later in life ",""".","[204, 23, 388, 1931, 2185, 272, 1063, 204]","[13, 204, 25]"
". In Boden, this included building", underground storage rooms,"[25, 529, 50068, 204, 23, 414, 3345, 2526]","[16991, 4703, 6113]"
 idea that it was Lowell's, Planet X.,"[2163, 325, 334, 398, 51645, 204, 18, 94]","[18987, 1876, 25]"
" brought to Melville, detained either", by British ships,"[3867, 271, 6453, 3931, 204, 23, 34454, 2335]","[431, 5282, 13118]"
 in the overall design parameters for all future, new railway lines,"[272, 248, 4291, 1168, 9038, 312, 455, 2108]","[627, 23745, 4261]"
 Belgium ( 22 February 197,9 ),"[21196, 204, 19, 204, 1671, 4286, 204, 3344]","[36, 204, 20]"
 various types of services ranging from simple parking, spaces and restrooms,"[2458, 3059, 275, 1626, 12816, 427, 2299, 7416]","[7729, 273, 64891]"
" writer's room, similarly", to Wilson F,"[6544, 204, 18, 94, 1664, 204, 23, 19194]","[271, 11919, 378]"
