question_ids,question,answer_ids,answer,question_length,_base_rank
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",986, high,8,59
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",860, many,8,60
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",47606, favourable,8,61
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",847, two,8,62
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",13321, considerable,8,63
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",3436, wide,8,64
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",41732, backlash,8,65
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",1829, air,8,66
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",43066, overwhelmingly,8,67
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",9959, mild,8,68
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",17386, considerably,8,69
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",1382, another,8,70
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",240, t,8,71
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",44176, midd,8,72
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",3608, average,8,73
"[1863, 545, 9654, 5026, 204, 23, 480, 3245]"," following his debut album, but received",334, it,8,74
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,25,.,8,0
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,23,",",8,1
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,272, in,8,2
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,273, and,8,3
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,275, of,8,4
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,431, by,8,5
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,204, ,8,6
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,38,;,8,7
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,1093, while,8,8
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,345, as,8,9
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,6873,.[,8,10
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,3830, alone,8,11
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,37,:,8,12
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,791,—,8,13
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,379, or,8,14
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,646, were,8,15
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,875, because,8,16
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,618, had,8,17
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,388, at,8,18
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,398, was,8,19
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,313, on,8,20
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,312, for,8,21
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,271, to,8,22
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,42,?,8,23
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,861,".""",8,24
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,661, than,8,25
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,996, before,8,26
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,193,"
",8,27
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,480, but,8,28
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,2159, due,8,29
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,852, after,8,30
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,635, when,8,31
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,997,.”,8,32
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,427, from,8,33
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,1428, since,8,34
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,325, that,8,35
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,335, with,8,36
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,563,--,8,37
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,1365, during,8,38
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,304, is,8,39
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,20,),8,40
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,691,).,8,41
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,12,!,8,42
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,7573, fighting,8,43
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,1311,",""",8,44
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,18,',8,45
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,813, under,8,46
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,513,..,8,47
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,2746,.),8,48
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,1296,",”",8,49
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,248, the,8,50
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,770,"),",8,51
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,629, there,8,52
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,1315, without,8,53
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,788, through,8,54
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,362, are,8,55
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,24,-,8,56
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,329,’,8,57
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,5414,.',8,58
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,951,...,8,59
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,1858, along,8,60
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,1192, between,8,61
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,486,”,8,62
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,631, would,8,63
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,648, over,8,64
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,485, so,8,65
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,2296, trying,8,66
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,4354, compared,8,67
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,413, have,8,68
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,3074, prior,8,69
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,13,"""",8,70
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,585, which,8,71
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,600,–,8,72
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,1574, within,8,73
"[618, 650, 6109, 1365, 248, 2732, 2972, 2137]", had been killed during the previous six months,20185,.(,8,74
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",626,201,10,0
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",853,200,10,1
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",1840,199,10,2
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",23,",",10,3
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",2747,198,10,4
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",905,202,10,5
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",70,[,10,6
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",3344,197,10,7
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",25,.,10,8
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",3954,196,10,9
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",19,(,10,10
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",5021,195,10,11
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",5387,194,10,12
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",38,;,10,13
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",6128,193,10,14
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",423,20,10,15
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",898,…,10,16
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",29,2,10,17
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",28,1,10,18
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",951,...,10,19
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",30,3,10,20
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",6182,192,10,21
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",791,—,10,22
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",600,–,10,23
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",6474,191,10,24
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",513,..,10,25
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",24,-,10,26
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",31,4,10,27
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",13,"""",10,28
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",696,10,10,29
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",31847,",[",10,30
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",35,8,10,31
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",928,12,10,32
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",1243,16,10,33
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",1069,11,10,34
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",660,19,10,35
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",1121,18,10,36
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",36,9,10,37
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",32,5,10,38
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",1313,13,10,39
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",7001,190,10,40
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",5689,….,10,41
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",1030,15,10,42
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",3614,09,10,43
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",33,6,10,44
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",1868,21,10,45
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",1392,17,10,46
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",37,:,10,47
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",6873,.[,10,48
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",1279,14,10,49
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",34,7,10,50
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",12,!,10,51
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",18,',10,52
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",5154,[…],10,53
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",9695,189,10,54
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",2791,31,10,55
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",2497,....,10,56
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",10661,187,10,57
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",9963,",.",10,58
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",1671,22,10,59
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",2102,27,10,60
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",9892,188,10,61
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",4100,·,10,62
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",4278,[],10,63
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",26,/,10,64
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",10380,186,10,65
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",488,“,10,66
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",1067,30,10,67
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",4753,().,10,68
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",3739,08,10,69
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",1395,25,10,70
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",2086,28,10,71
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",20,),10,72
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",1871,23,10,73
"[19930, 204, 23, 398, 4171, 313, 204, 36, 1896, 204]"," Studios, was released on 9 May ",1463,24,10,74
"[1783, 21104, 204, 23, 273, 427, 204, 32, 3242, 204]"," local buses, and from 5 April ",626,201,10,0
"[1783, 21104, 204, 23, 273, 427, 204, 32, 3242, 204]"," local buses, and from 5 April ",853,200,10,1
"[1783, 21104, 204, 23, 273, 427, 204, 32, 3242, 204]"," local buses, and from 5 April ",23,",",10,2
"[1783, 21104, 204, 23, 273, 427, 204, 32, 3242, 204]"," local buses, and from 5 April ",905,202,10,3
"[1783, 21104, 204, 23, 273, 427, 204, 32, 3242, 204]"," local buses, and from 5 April ",1840,199,10,4
"[1783, 21104, 204, 23, 273, 427, 204, 32, 3242, 204]"," local buses, and from 5 April ",2747,198,10,5
"[1783, 21104, 204, 23, 273, 427, 204, 32, 3242, 204]"," local buses, and from 5 April ",3344,197,10,6
"[1783, 21104, 204, 23, 273, 427, 204, 32, 3242, 204]"," local buses, and from 5 April ",3954,196,10,7
"[1783, 21104, 204, 23, 273, 427, 204, 32, 3242, 204]"," local buses, and from 5 April ",5021,195,10,8
"[1783, 21104, 204, 23, 273, 427, 204, 32, 3242, 204]"," local buses, and from 5 April ",600,–,10,9
"[1783, 21104, 204, 23, 273, 427, 204, 32, 3242, 204]"," local buses, and from 5 April ",5387,194,10,10
"[1783, 21104, 204, 23, 273, 427, 204, 32, 3242, 204]"," local buses, and from 5 April ",6474,191,10,11
"[1783, 21104, 204, 23, 273, 427, 204, 32, 3242, 204]"," local buses, and from 5 April ",19,(,10,12
"[1783, 21104, 204, 23, 273, 427, 204, 32, 3242, 204]"," local buses, and from 5 April ",24,-,10,13
"[1783, 21104, 204, 23, 273, 427, 204, 32, 3242, 204]"," local buses, and from 5 April ",70,[,10,14
"[1783, 21104, 204, 23, 273, 427, 204, 32, 3242, 204]"," local buses, and from 5 April ",6182,192,10,15
"[1783, 21104, 204, 23, 273, 427, 204, 32, 3242, 204]"," local buses, and from 5 April ",6128,193,10,16
"[1783, 21104, 204, 23, 273, 427, 204, 32, 3242, 204]"," local buses, and from 5 April ",7001,190,10,17
"[1783, 21104, 204, 23, 273, 427, 204, 32, 3242, 204]"," local buses, and from 5 April ",25,.,10,18
"[1783, 21104, 204, 23, 273, 427, 204, 32, 3242, 204]"," local buses, and from 5 April ",10380,186,10,19
"[1783, 21104, 204, 23, 273, 427, 204, 32, 3242, 204]"," local buses, and from 5 April ",9695,189,10,20
"[1783, 21104, 204, 23, 273, 427, 204, 32, 3242, 204]"," local buses, and from 5 April ",10661,187,10,21
"[1783, 21104, 204, 23, 273, 427, 204, 32, 3242, 204]"," local buses, and from 5 April ",28,1,10,22
"[1783, 21104, 204, 23, 273, 427, 204, 32, 3242, 204]"," local buses, and from 5 April ",9892,188,10,23
"[1783, 21104, 204, 23, 273, 427, 204, 32, 3242, 204]"," local buses, and from 5 April ",29,2,10,24
"[1783, 21104, 204, 23, 273, 427, 204, 32, 3242, 204]"," local buses, and from 5 April ",791,—,10,25
"[1783, 21104, 204, 23, 273, 427, 204, 32, 3242, 204]"," local buses, and from 5 April ",11127,185,10,26
"[1783, 21104, 204, 23, 273, 427, 204, 32, 3242, 204]"," local buses, and from 5 April ",37,:,10,27
"[1783, 21104, 204, 23, 273, 427, 204, 32, 3242, 204]"," local buses, and from 5 April ",11804,184,10,28
"[1783, 21104, 204, 23, 273, 427, 204, 32, 3242, 204]"," local buses, and from 5 April ",12315,183,10,29
"[1783, 21104, 204, 23, 273, 427, 204, 32, 3242, 204]"," local buses, and from 5 April ",38,;,10,30
"[1783, 21104, 204, 23, 273, 427, 204, 32, 3242, 204]"," local buses, and from 5 April ",30,3,10,31
"[1783, 21104, 204, 23, 273, 427, 204, 32, 3242, 204]"," local buses, and from 5 April ",423,20,10,32
"[1783, 21104, 204, 23, 273, 427, 204, 32, 3242, 204]"," local buses, and from 5 April ",32,5,10,33
"[1783, 21104, 204, 23, 273, 427, 204, 32, 3242, 204]"," local buses, and from 5 April ",31,4,10,34
"[1783, 21104, 204, 23, 273, 427, 204, 32, 3242, 204]"," local buses, and from 5 April ",33,6,10,35
"[1783, 21104, 204, 23, 273, 427, 204, 32, 3242, 204]"," local buses, and from 5 April ",696,10,10,36
